id,constituency,district,reservation,mla_name,party,mandals
1,Ichchapuram,Srikakulam,None,Bendalam Ashok,TDP,"Ichchapuram, Kanchili, Kaviti, Sompeta"
2,Palasa,Srikakulam,None,Gouthu Sireesha,TDP,"Palasa, Vajrapukotturu, Mandasa"
3,Tekkali,Srikakulam,None,Kinjarapu Atchannaidu,TDP,"Tekkali, Kotabommali, Santhabommali, Nandigam"
4,Pathapatnam,Srikakulam,None,Mamidi Govinda Rao,TDP,"Pathapatnam, Meliaputti, Kothur, Hiramandalam"
5,Srikakulam,Srikakulam,None,Gowthu Hari Sita Mahalakshmi,TDP,"Srikakulam, Gara"
6,Amadalavalasa,Srikakulam,None,Koona Ravi Kumar,TDP,"Amadalavalasa, Sarubujjili, Ponduru, Laveru"
7,Etcherla,Srikakulam,None,Nadukuditi Eswara Rao,BJP,"Etcherla, Laveru, G.Sigadam, Ranasthalam"
8,Narasannapeta,Srikakulam,None,Baggu Ramana Murthy,TDP,"Narasannapeta, Saravakota, Jalumuru, Polaki"
9,Rajam,Vizianagaram,SC,Kondeti Murali Mohan,TDP,"Rajam, Regidi Amadalavalasa, Vangara, Santhakaviti"
10,Palakonda,Parvathipuram Manyam,ST,Nimmaka Jayakrishna,JSP,"Palakonda, Seethanagaram, Veeraghattam, Bhamini"
11,Kurupam,Parvathipuram Manyam,ST,Toyaka Jagadeswari,TDP,"Kurupam, Jiyyammavalasa, Gummalakshmipuram, Komarada"
12,Parvathipuram,Parvathipuram Manyam,SC,Bonela Vijaya Chandra,TDP,"Parvathipuram, Seethanagaram"
13,Salur,Parvathipuram Manyam,ST,Ghatraju Sandhyarani,TDP,"Salur, Pachipenta, Mentada"
14,Bobbili,Vizianagaram,None,R.V.S.K.K. Ranga Rao (Baby Nayana),TDP,"Bobbili, Ramabhadrapuram, Badangi, Terlam"
15,Cheepurupalli,Vizianagaram,None,Kimidi Kalavenkata Rao,TDP,"Cheepurupalli, Merakamudidam, Garividi, Gurla"
16,Gajapathinagaram,Vizianagaram,None,Kondapalli Srinivas,TDP,"Gajapathinagaram, Bondapalle, Dattirajeru, Gantyada"
17,Nellimarla,Vizianagaram,None,Locana Cherukuvada,JSP,"Nellimarla, Pusapatirega, Denkada, Vizianagaram (Rural)"
18,Vizianagaram,Vizianagaram,None,P. Adithya Ashok,TDP,Vizianagaram Urban
19,Srungavarapukota,Vizianagaram,None,Kolla Lalitha Kumari,TDP,"Srungavarapukota, Lakkavarapukota, Kothavalasa, Vepada"
